cls,precision,recall,baseline,average_precision
N,0.9295262015239879,0.9914861735458385,0.8902138324103642,0.9817703090206553
N,0.9298522083564036,0.9913272487853607,0.8902138324103642,0.9817703090206553
N,0.9302424681467593,0.9912364346365163,0.8902138324103642,0.9817703090206553
N,0.930547857599659,0.9910548063388276,0.8902138324103642,0.9817703090206553
N,0.930789574713134,0.9908050674295055,0.8902138324103642,0.9817703090206553
N,0.9310742179164355,0.9906007355946056,0.8902138324103642,0.9817703090206553
N,0.9314018531961228,0.990441810834128,0.8902138324103642,0.9817703090206553
N,0.9317511855427864,0.9903055896108613,0.8902138324103642,0.9817703090206553
N,0.9320367599914512,0.9901012577759615,0.8902138324103642,0.9817703090206553
N,0.9323653936620622,0.9899423330154838,0.8902138324103642,0.9817703090206553
N,0.9325873946343759,0.9896698905689506,0.8902138324103642,0.9817703090206553
N,0.9329380538550451,0.9895336693456841,0.8902138324103642,0.9817703090206553
N,0.9331819934038634,0.989283930436362,0.8902138324103642,0.9817703090206553
N,0.9334047568030855,0.9890114879898289,0.8902138324103642,0.9817703090206553
N,0.9336706255627493,0.9887844526177179,0.8902138324103642,0.9817703090206553
N,0.9338724207455708,0.9884893066339736,0.8902138324103642,0.9817703090206553
N,0.9341602643890295,0.9882849747990737,0.8902138324103642,0.9817703090206553
N,0.9344269334822004,0.9880579394269627,0.8902138324103642,0.9817703090206553
N,0.9347153598281418,0.9878536075920629,0.8902138324103642,0.9817703090206553
N,0.9349825903795728,0.9876265722199519,0.8902138324103642,0.9817703090206553
N,0.9351855834157671,0.9873314262362076,0.8902138324103642,0.9817703090206553
N,0.9355178794268256,0.9871725014757299,0.8902138324103642,0.9817703090206553
