cls,fpr,tpr,auc
N,0.013254786450662739,0.34257367297825003,0.879125540329139
N,0.013438880706921945,0.3454116151296372,0.879125540329139
N,0.013622974963181149,0.3470235662716251,0.879125540329139
N,0.013622974963181149,0.34956636243926803,0.879125540329139
N,0.013807069219440353,0.3500431367207011,0.879125540329139
N,0.013807069219440353,0.3562866094537529,0.879125540329139
N,0.014175257731958763,0.35696771557008583,0.879125540329139
N,0.014359351988217967,0.36012350724242836,0.879125540329139
N,0.014543446244477173,0.36198519729373835,0.879125540329139
N,0.014727540500736377,0.3652318031149253,0.879125540329139
N,0.014911634756995583,0.3655496526358807,0.879125540329139
N,0.014911634756995583,0.367956227580257,0.879125540329139
N,0.015095729013254787,0.36977251055714483,0.879125540329139
N,0.015095729013254787,0.37099850156654407,0.879125540329139
N,0.01527982326951399,0.37528947009944147,0.879125540329139
N,0.015463917525773196,0.37574354084366346,0.879125540329139
N,0.015832106038291605,0.3773554919856514,0.879125540329139
N,0.015832106038291605,0.3802842482858829,0.879125540329139
N,0.016200294550810016,0.3814875357580711,0.879125540329139
N,0.01638438880706922,0.384484402669936,0.879125540329139
N,0.01675257731958763,0.3881169686237116,0.879125540329139
N,0.016936671575846832,0.3898651409889661,0.879125540329139
N,0.016936671575846832,0.39111383553557644,0.879125540329139
N,0.01712076583210604,0.3949961403986741,0.879125540329139
N,0.017304860088365244,0.39728919765699494,0.879125540329139
N,0.017488954344624448,0.39967306906416017,0.879125540329139
N,0.017857142857142856,0.40021795395722654,0.879125540329139
N,0.01804123711340206,0.4032829314807247,0.879125540329139
N,0.018225331369661268,0.40373700222494663,0.879125540329139
N,0.018409425625920472,0.4096172183626209,0.879125540329139
N,0.01877761413843888,0.4114107978022976,0.879125540329139
N,0.01877761413843888,0.4153612132770286,0.879125540329139
N,0.018961708394698084,0.41663261136085,0.879125540329139
N,0.01914580265095729,0.4173591245516051,0.879125540329139
N,0.019329896907216496,0.41992462425645916,0.879125540329139
N,0.019329896907216496,0.42019706670299234,0.879125540329139
N,0.0195139911634757,0.4204468056123144,0.879125540329139
N,0.019882179675994108,0.42180901784498026,0.879125540329139
N,0.020066273932253315,0.4231712300776461,0.879125540329139
N,0.020066273932253315,0.4241474821777233,0.879125540329139
N,0.02025036818851252,0.4243518140126232,0.879125540329139
N,0.020434462444771723,0.42659946419652184,0.879125540329139
N,0.020434462444771723,0.42725786677564365,0.879125540329139
N,0.020618556701030927,0.42968714525723106,0.879125540329139
N,0.020986745213549336,0.4298233664804977,0.879125540329139
N,0.020986745213549336,0.43045906552240837,0.879125540329139
N,0.021170839469808543,0.43152613177133,0.879125540329139
N,0.021354933726067747,0.43338782182263996,0.879125540329139
N,0.02153902798232695,0.4340235208645507,0.879125540329139
N,0.021723122238586155,0.43620306043681606,0.879125540329139
N,0.022091310751104567,0.43795123280207054,0.879125540329139
N,0.022091310751104567,0.44110702447441313,0.879125540329139
N,0.02227540500736377,0.44256005085592337,0.879125540329139
N,0.022459499263622975,0.44319574989783406,0.879125540329139
N,0.02264359351988218,0.44419470553512236,0.879125540329139
N,0.022827687776141383,0.44439903737002223,0.879125540329139
N,0.023195876288659795,0.4468283158516097,0.879125540329139
N,0.023195876288659795,0.44866730236570856,0.879125540329139
N,0.023564064801178203,0.4495754438541525,0.879125540329139
N,0.023748159057437407,0.4515052445170958,0.879125540329139
N,0.02411634756995582,0.45329882395677246,0.879125540329139
N,0.024300441826215022,0.4550924033964492,0.879125540329139
N,0.024484536082474227,0.45527403169413794,0.879125540329139
N,0.02466863033873343,0.45627298733142624,0.879125540329139
N,0.024852724594992635,0.4565227262407483,0.879125540329139
N,0.025036818851251842,0.45681787222449255,0.879125540329139
N,0.025220913107511046,0.4575216818780366,0.879125540329139
N,0.02540500736377025,0.4609953230713345,0.879125540329139
N,0.02577319587628866,0.4616083185760341,0.879125540329139
N,0.025957290132547866,0.4621532034691005,0.879125540329139
N,0.025957290132547866,0.4638105616855106,0.879125540329139
N,0.02614138438880707,0.4647641102483767,0.879125540329139
N,0.026509572901325478,0.4647868137855878,0.879125540329139
N,0.026693667157584682,0.46807882668119694,0.879125540329139
N,0.027061855670103094,0.4682377514416746,0.879125540329139
N,0.027245949926362298,0.4700313308813513,0.879125540329139
N,0.027614138438880706,0.4712573218907506,0.879125540329139
N,0.02779823269513991,0.47309630840484945,0.879125540329139
N,0.02816642120765832,0.476479135449303,0.879125540329139
N,0.02816642120765832,0.48022521908913407,0.879125540329139
N,0.028350515463917526,0.4839485991917541,0.879125540329139
N,0.02853460972017673,0.486264359987286,0.879125540329139
