optimiser,evaluations,mean,q25,q75
Random search,11250,2.44428866704305,2.2315964102745056,2.6621018648147583
Random search,11500,2.44428866704305,2.2315964102745056,2.6621018648147583
Random search,11750,2.443673364321391,2.2315964102745056,2.6574870944023132
Random search,12000,2.426051219304403,2.1495510935783386,2.6574870944023132
Random search,12250,2.426051219304403,2.1495510935783386,2.6574870944023132
Random search,12500,2.426051219304403,2.1495510935783386,2.6574870944023132
Random search,12750,2.375889190038045,2.1285207271575928,2.6171178817749023
Random search,13000,2.375889190038045,2.1285207271575928,2.6171178817749023
Random search,13250,2.342751423517863,2.114042043685913,2.573261559009552
Random search,13500,2.342751423517863,2.114042043685913,2.573261559009552
Random search,13750,2.342751423517863,2.114042043685913,2.573261559009552
Random search,14000,2.342751423517863,2.114042043685913,2.573261559009552
Random search,14250,2.342751423517863,2.114042043685913,2.573261559009552
Random search,14500,2.342751423517863,2.114042043685913,2.573261559009552
Random search,14750,2.342751423517863,2.114042043685913,2.573261559009552
Random search,15000,2.3419007460276284,2.114042043685913,2.573261559009552
TPE,0,5.326678530375163,3.729976177215576,6.479215025901794
TPE,250,2.9916297952334086,2.365487575531006,3.4750372767448425
TPE,500,2.8389567772547406,2.1759142875671387,3.4330090284347534
TPE,750,2.657289675871531,2.0200785100460052,3.1551647782325745
TPE,1000,2.174560558795929,1.6021226346492767,2.6230008602142334
TPE,1250,1.9854010462760925,1.522068053483963,2.3687015771865845
TPE,1500,1.8109123190244039,1.2738211452960968,2.1480533182621
TPE,1750,1.5533913135528565,1.1531733870506287,2.020724266767502
TPE,2000,1.3784678677717845,1.0367461144924164,1.6362062990665436
TPE,2250,1.2561684469381968,0.9143915176391602,1.5258505642414093
TPE,2500,1.130342181523641,0.8061555922031403,1.3381988108158112
TPE,2750,1.042405867576599,0.7259349375963211,1.1627311408519745
TPE,3000,0.9589613517125447,0.6939374804496765,1.0452497005462646
TPE,3250,0.8559771090745926,0.6312124282121658,0.9497967958450317
TPE,3500,0.7974059661229451,0.5919873267412186,0.8772575706243515
TPE,3750,0.704863045612971,0.5224313288927078,0.7763885408639908
TPE,4000,0.6485583792130153,0.47476839274168015,0.7675716429948807
TPE,4250,0.600580382347107,0.45333605259656906,0.6784400939941406
TPE,4500,0.5511081864436468,0.4137335270643234,0.6427492797374725
TPE,4750,0.5010517090559006,0.3712073192000389,0.5714303702116013
TPE,5000,0.47108562688032785,0.3593865931034088,0.5430284738540649
TPE,5250,0.43919038623571394,0.3397456258535385,0.52256178855896
TPE,5500,0.39357462773720425,0.2972799688577652,0.4442094564437866
TPE,5750,0.3732180620233218,0.2972673773765564,0.4292934238910675
TPE,6000,0.3505490034818649,0.2912093549966812,0.4026753678917885
TPE,6250,0.3333864837884903,0.2637086361646652,0.38643061369657516
TPE,6500,0.30943737576405206,0.2560107260942459,0.35519060492515564
TPE,6750,0.2903532639145851,0.2341706082224846,0.32823432236909866
TPE,7000,0.2734103893240293,0.21581954881548882,0.3102900832891464
TPE,7250,0.2543325776855151,0.21125047653913498,0.2943348288536072
TPE,7500,0.24130189021428425,0.19593483582139015,0.2796352729201317
TPE,7750,0.2279692843556404,0.19507170096039772,0.2666517496109009
TPE,8000,0.21682164420684177,0.18416215479373932,0.2507398799061775
TPE,8250,0.20350150167942047,0.1736057661473751,0.2337932549417019
TPE,8500,0.1924559662739436,0.16530798003077507,0.21479424089193344
TPE,8750,0.18460169583559036,0.1513831503689289,0.2120998613536358
TPE,9000,0.17586093991994858,0.15042861551046371,0.18931639194488525
TPE,9250,0.16867348899443943,0.14409901946783066,0.18564031273126602
TPE,9500,0.16085164447625477,0.13325316458940506,0.17495515570044518
TPE,9750,0.15382370601097742,0.1304132342338562,0.16507742553949356
TPE,10000,0.14945531810323398,0.1255005355924368,0.15559545904397964
TPE,10250,0.1446731147666772,0.12272143550217152,0.15282385796308517
TPE,10500,0.13943506454428037,0.11790106631815434,0.14997950941324234
TPE,10750,0.13413384358088176,0.11159620806574821,0.14748315513134003
TPE,11000,0.12727738420168558,0.10827150568366051,0.1423877775669098
TPE,11250,0.12332455416520437,0.10253744944930077,0.137788537889719
TPE,11500,0.11996727312604587,0.10241310112178326,0.13222996145486832
TPE,11750,0.11684043208758037,0.09952970035374165,0.12911832705140114
TPE,12000,0.11274323066075644,0.09800880774855614,0.12268643267452717
TPE,12250,0.10896662945548694,0.09356250427663326,0.11941371858119965
TPE,12500,0.1072406512995561,0.09258545376360416,0.11693517491221428
TPE,12750,0.10390502413113913,0.09104670956730843,0.11406419239938259
TPE,13000,0.10111871088544527,0.08710530586540699,0.1037223320454359
TPE,13250,0.09849290574590365,0.08589093945920467,0.10272577032446861
TPE,13500,0.09638623545567195,0.0836564488708973,0.10179939493536949
TPE,13750,0.09434379190206528,0.08163346163928509,0.09688111767172813
TPE,14000,0.09145413488149642,0.08126942254602909,0.09638467617332935
TPE,14250,0.08978120883305868,0.08076153695583344,0.0957638081163168
TPE,14500,0.08786849404374758,0.07748551294207573,0.09560984373092651
TPE,14750,0.08555526956915856,0.07631917670369148,0.09237117134034634
TPE,15000,0.08382336720824242,0.07434243522584438,0.09062030538916588
WHOA,0,8.137047060330708,4.965167999267578,10.42786455154419
WHOA,250,2.757446058591207,2.0507307648658752,3.042777180671692
WHOA,500,1.5957890609900156,1.1439027786254883,1.6567570567131042
WHOA,750,1.2210392832756043,0.9597631692886353,1.4187839031219482
WHOA,1000,1.0166386504968008,0.8315342664718628,1.1444599628448486
WHOA,1250,0.8800306101640065,0.6789729744195938,1.0445525646209717
WHOA,1500,0.7803579191366832,0.6118712872266769,0.9395686835050583
WHOA,1750,0.7120186100403468,0.5684518963098526,0.8663721978664398
WHOA,2000,0.6586623698472976,0.5342018008232117,0.8082550764083862
WHOA,2250,0.6136907110611598,0.4915607422590256,0.7543680369853973
WHOA,2500,0.5744837045669555,0.45649608969688416,0.6912958025932312
WHOA,2750,0.5446722487608592,0.42653413116931915,0.6425462514162064
WHOA,3000,0.5143847813208898,0.4057479351758957,0.6219153851270676
WHOA,3250,0.4895681291818619,0.39390015602111816,0.6014447957277298
WHOA,3500,0.46171572506427766,0.3708101138472557,0.5808115154504776
WHOA,3750,0.4387446641921997,0.35166486352682114,0.5600511878728867
WHOA,4000,0.4185734212398529,0.33016129583120346,0.5385644435882568
WHOA,4250,0.39841127942005794,0.3065621256828308,0.510726623237133
WHOA,4500,0.38086318522691726,0.28182628750801086,0.49274712055921555
WHOA,4750,0.36476347347100574,0.2736305594444275,0.46888744831085205
WHOA,5000,0.35012910813093184,0.2601357400417328,0.4471566751599312
WHOA,5250,0.3362027982870738,0.24998843297362328,0.4343675449490547
WHOA,5500,0.3252466231584549,0.2402292788028717,0.42310546338558197
WHOA,5750,0.31336643199125924,0.23292148485779762,0.4123934805393219
WHOA,6000,0.30215517232815425,0.22494463250041008,0.38331474363803864
WHOA,6250,0.28955860634644826,0.21886519715189934,0.36880938708782196
WHOA,6500,0.2775734568635623,0.2094077579677105,0.33772895485162735
WHOA,6750,0.267452110350132,0.19351864233613014,0.32730361819267273
WHOA,7000,0.26024090200662614,0.1856989562511444,0.3178943544626236
WHOA,7250,0.25425042062997816,0.17792564630508423,0.3140200600028038
WHOA,7500,0.24879845331112543,0.17457084357738495,0.30976711213588715
WHOA,7750,0.24218422571818035,0.16711332648992538,0.3013773187994957
WHOA,8000,0.23540199051300684,0.16378203779459,0.29022983461618423
WHOA,8250,0.22959867616494498,0.16201692074537277,0.2842327877879143
WHOA,8500,0.2233685200413068,0.1556328348815441,0.27428825199604034
WHOA,8750,0.2183042933543523,0.15132761374115944,0.2668173648416996
WHOA,9000,0.21250418623288472,0.14975589513778687,0.2392239086329937
WHOA,9250,0.20709098055958747,0.14682454243302345,0.2315083146095276
WHOA,9500,0.20155900989969572,0.14125248044729233,0.21459699794650078
WHOA,9750,0.19763760070006053,0.1372741051018238,0.2083597369492054
WHOA,10000,0.19356691961487135,0.13533154875040054,0.2055911384522915
WHOA,10250,0.1897616187731425,0.1339435651898384,0.20198558643460274
WHOA,10500,0.1859942267338435,0.1327434703707695,0.19673577696084976
WHOA,10750,0.18155981103579202,0.13127881288528442,0.19117366895079613
WHOA,11000,0.17617588465412456,0.12875927984714508,0.18576427549123764
WHOA,11250,0.1703676275908947,0.12794623337686062,0.18298959359526634
WHOA,11500,0.16601220319668453,0.12663139961659908,0.17923646047711372
WHOA,11750,0.16316760728756588,0.12500334158539772,0.17789967358112335
WHOA,12000,0.16077233329415322,0.12358226999640465,0.17587516456842422
WHOA,12250,0.158411651601394,0.12069954723119736,0.17458069324493408
WHOA,12500,0.1563960465292136,0.1200410071760416,0.17097347974777222
WHOA,12750,0.15411219348510105,0.11912104859948158,0.16749702766537666
WHOA,13000,0.15146802167097728,0.11862821318209171,0.164179977029562
WHOA,13250,0.14966310188174248,0.1174593698233366,0.1632424332201481
WHOA,13500,0.14847322975595792,0.11573432572185993,0.16198425740003586
WHOA,13750,0.14752241596579552,0.1148991733789444,0.16105026379227638
WHOA,14000,0.1464668313662211,0.11432361975312233,0.15997353196144104
WHOA,14250,0.14564006899793944,0.11388508044183254,0.15907996892929077
WHOA,14500,0.14484418630599977,0.11319761350750923,0.15830371901392937
WHOA,14750,0.14417494609951972,0.1126672700047493,0.1577490158379078
WHOA,15000,0.1435176859299342,0.11191486567258835,0.15733013302087784
